"Place","State","Latitude","Longitude","TotalPopulation","MalePopulation","FemalePopulation","MedianAge","AgricultureForestryandFishing","Mining","Manufacturing","ElectricityGasWaterWasteService","Construction","Wholesale","Retail","AccomodationFoodServices","TransportWarehousing","ITMediaTelecommunications","FinancialInsurance","RentalHiringRealEstate","ProfessionalScientificTechnical","AdministrativeSupport","PublicAdministration","EducationTraining","HealthCareSocial","ArtsRecreation","Other","MainEmployingIndustry","URL","bestImage"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/12/18/4151024.htm","http://www.abc.net.au/reslib/201412/r1370155_19320470.jpg"
"Newcastle","NSW",-32.9298,151.7828,155550,77444,78106,37.1,0.3,1.6,9.2,1.6,6.6,2.9,10.4,7.8,4.1,1.2,3.4,1.5,7.4,3,6.9,9.5,16,1.4,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/18/4151169.htm","http://www.abc.net.au/reslib/201412/r1370189_19321270.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/12/17/4150246.htm","http://www.abc.net.au/reslib/201412/r1369520_19307024.jpg"
"Warrnambool","VIC",-38.3866,142.5053,32667,16050,16617,37.8,2.3,0.4,10.3,1.4,8.8,3.8,13.7,8.8,3.6,1.2,2.2,1.3,3.9,2.7,4.9,9.2,14.9,1.5,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/17/4150323.htm","http://www.abc.net.au/reslib/201412/r1369721_19311164.jpg"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/16/4149662.htm","http://www.abc.net.au/reslib/201412/r1369306_19302242.JPG"
"Manjimup","WA",-34.2424,116.1441,9463,4721,4742,41.5,17.7,2.5,8.9,0.7,6.5,2.9,10.2,8.6,4,0.4,1.2,0.9,2.6,2.5,7.8,8,8.1,0.5,3.6,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/12/16/4149310.htm","http://www.abc.net.au/reslib/201412/r1369131_19298560.jpg"
"Bombala","NSW",-36.9126,149.2374,2484,1265,1219,45.8,30.5,0.4,9.1,1.2,5.3,1.9,8.8,4.6,4.2,0.6,0.6,0.6,2.4,2.4,6.7,6.1,8.6,1.2,2.6,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/12/16/4149753.htm","http://www.abc.net.au/reslib/201412/r1369381_19303539.jpg"
"Broken Hill","NSW",NULL,NULL,19151,9401,9750,43.1,1.2,10.4,3.2,2.6,5.7,2.1,13.2,9.7,3.8,1,1.5,0.7,2.4,3.1,7.7,8.3,16.2,0.9,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/16/4149728.htm","http://www.abc.net.au/reslib/201412/r1369367_19303331.jpg"
"Bundaberg","QLD",-24.8683,152.3459,92063,45573,46490,42.8,9.4,2.3,8.6,1.1,8.1,3,12.8,6.4,3.8,0.8,1.7,1.4,3.4,2.8,5,8,14.6,0.7,3.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/12/4147605.htm","http://www.abc.net.au/reslib/201412/r1368028_19276276.jpg"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2014/12/11/4146808.htm","http://www.abc.net.au/reslib/201412/r1367569_19266832.jpg"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2014/12/12/4147623.htm","http://www.abc.net.au/reslib/201412/r1368045_19276710.jpg"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/12/4147434.htm","http://www.abc.net.au/reslib/201412/r1367954_19274499.jpg"
"Toowoomba","QLD",-27.5622,151.9528,155473,76067,79406,37.2,6.3,1.8,9.3,1.1,7.9,3.7,10.9,5.7,4.7,1,2.8,1.3,4.3,2.2,6.7,9.9,13.6,0.9,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/10/4145975.htm","http://www.abc.net.au/reslib/201412/r1367056_19255441.jpg"
"Toowoomba","QLD",-27.5622,151.9528,155473,76067,79406,37.2,6.3,1.8,9.3,1.1,7.9,3.7,10.9,5.7,4.7,1,2.8,1.3,4.3,2.2,6.7,9.9,13.6,0.9,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/11/4146833.htm","http://www.abc.net.au/reslib/201412/r1367594_19267482.jpg"
"Broken Hill","NSW",-31.958038,141.465138,19151,9401,9750,43.1,1.2,10.4,3.2,2.6,5.7,2.1,13.2,9.7,3.8,1,1.5,0.7,2.4,3.1,7.7,8.3,16.2,0.9,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/11/4146920.htm","http://www.abc.net.au/reslib/201412/r1367645_19268706.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/12/11/4146946.htm","http://www.abc.net.au/reslib/201412/r1367653_19268906.jpg"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/11/4146795.htm","http://www.abc.net.au/reslib/201412/r1367491_19264523.jpg"
"Broken Hill","NSW",-31.958038,141.465138,19151,9401,9750,43.1,1.2,10.4,3.2,2.6,5.7,2.1,13.2,9.7,3.8,1,1.5,0.7,2.4,3.1,7.7,8.3,16.2,0.9,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/08/4144134.htm","http://www.abc.net.au/reslib/201412/r1365922_19231263.jpg"
"Alice Springs","NT",-23.6989,133.8829,28489,14898,13591,33.4,0.4,0.6,2.9,1.4,8,2.1,9.5,6.3,4.5,1.5,0.9,1.7,7.1,2.8,17.3,9.9,15.1,2.9,3.6,"Public Administration & Safety","http://www.abc.net.au/local/photos/2014/12/10/4146313.htm","http://www.abc.net.au/reslib/201412/r1367245_19259933.jpg"
"Wollongong","NSW",-34.4263,150.8927,202068,101108,100960,38.2,0.3,2.7,9.7,1.1,7.2,2.5,9.8,7.2,4.9,1.4,3.9,1.5,5.7,3.2,7,11.1,13.4,1.4,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/09/4145396.htm","http://www.abc.net.au/reslib/201412/r1366695_19248278.jpg"
"Warrnambool","VIC",-38.3866,142.5053,32667,16050,16617,37.8,2.3,0.4,10.3,1.4,8.8,3.8,13.7,8.8,3.6,1.2,2.2,1.3,3.9,2.7,4.9,9.2,14.9,1.5,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/11/4146714.htm","http://www.abc.net.au/reslib/201412/r1367497_19264736.jpg"
"Gympie","QLD",-26.1907,152.6571,46837,23395,23442,42.9,8.8,2.1,11.5,1,9.1,3.1,12,6.8,4.6,0.7,1.3,1.4,3.3,2.7,5.4,7.8,11.1,0.8,4.2,"Retail Trade","http://www.abc.net.au/local/photos/2014/12/11/4146705.htm","http://www.abc.net.au/reslib/201412/r1367501_19264875.JPG"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/12/10/4146224.htm","http://www.abc.net.au/reslib/201412/r1367193_19258775.jpg"
"Wollongong","NSW",-34.4263,150.8927,202068,101108,100960,38.2,0.3,2.7,9.7,1.1,7.2,2.5,9.8,7.2,4.9,1.4,3.9,1.5,5.7,3.2,7,11.1,13.4,1.4,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/08/4144302.htm","http://www.abc.net.au/reslib/201412/r1366020_19233535.jpg"
"Newcastle","NSW",-32.9298,151.7828,155550,77444,78106,37.1,0.3,1.6,9.2,1.6,6.6,2.9,10.4,7.8,4.1,1.2,3.4,1.5,7.4,3,6.9,9.5,16,1.4,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/08/4144340.htm","http://www.abc.net.au/reslib/201412/r1366042_19233993.jpg"
"Lismore","NSW",-28.8093,153.2808,44348,21913,22435,40,5.2,0.4,7.1,0.7,6.8,2.8,13.8,6.8,3.2,1.8,2,1.3,4.6,2.8,5.1,11.2,17.6,1.3,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/09/4145096.htm","http://www.abc.net.au/reslib/201412/r1366515_19243651.jpg"
"Newcastle","NSW",-32.9298,151.7828,155550,77444,78106,37.1,0.3,1.6,9.2,1.6,6.6,2.9,10.4,7.8,4.1,1.2,3.4,1.5,7.4,3,6.9,9.5,16,1.4,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/10/4145877.htm","http://www.abc.net.au/reslib/201412/r1366977_19253243.jpg"
