"Place","State","Latitude","Longitude","TotalPopulation","MalePopulation","FemalePopulation","MedianAge","AgricultureForestryandFishing","Mining","Manufacturing","ElectricityGasWaterWasteService","Construction","Wholesale","Retail","AccomodationFoodServices","TransportWarehousing","ITMediaTelecommunications","FinancialInsurance","RentalHiringRealEstate","ProfessionalScientificTechnical","AdministrativeSupport","PublicAdministration","EducationTraining","HealthCareSocial","ArtsRecreation","Other","MainEmployingIndustry","URL","bestImage"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/18/3893290.htm","http://www.abc.net.au/reslib/201311/r1203634_15604864.jpg"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2013/11/18/3893262.htm","http://www.abc.net.au/reslib/201311/r1203616_15604217.JPG"
"Sydney","NSW",-33.8631,151.2043,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/11/18/3893220.htm","http://www.abc.net.au/reslib/201311/r1203533_15602330.jpg"
"Toowoomba","QLD",-27.5622,151.9528,155473,76067,79406,37.2,6.3,1.8,9.3,1.1,7.9,3.7,10.9,5.7,4.7,1,2.8,1.3,4.3,2.2,6.7,9.9,13.6,0.9,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/15/3892053.htm","http://www.abc.net.au/reslib/201311/r1202684_15583770.jpg"
"Lismore","NSW",-28.8093,153.2808,44348,21913,22435,40,5.2,0.4,7.1,0.7,6.8,2.8,13.8,6.8,3.2,1.8,2,1.3,4.6,2.8,5.1,11.2,17.6,1.3,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/18/3893038.htm","http://www.abc.net.au/reslib/201311/r1203422_15599035.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/15/3891867.htm","http://www.abc.net.au/news/image/5094676-4x3-80x60.jpg"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2013/11/15/3891903.htm","http://www.abc.net.au/reslib/201311/r1202577_15581794.jpg"
"Sydney","NSW",-33.8631,151.2043,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/10/31/3881239.htm","http://www.abc.net.au/news/image/5048078-4x3-80x60.jpg"
"Ballina","NSW",-28.8657,153.5643,40747,19771,20976,45.3,4.3,0.5,5.8,0.9,9.1,2.8,13,9,2.9,1.3,2.3,1.8,5.1,3,5.7,10.5,15.4,1.4,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/15/3891472.htm","http://www.abc.net.au/reslib/201311/r1202357_15576190.jpg"
"Ballina","NSW",-28.8657,153.5643,40747,19771,20976,45.3,4.3,0.5,5.8,0.9,9.1,2.8,13,9,2.9,1.3,2.3,1.8,5.1,3,5.7,10.5,15.4,1.4,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/15/3892043.htm","http://www.abc.net.au/reslib/201311/r1202680_15583730.jpg"
"Adelaide","SA",NULL,NULL,20920,10863,10057,30.6,0.6,1.3,4.6,1.1,3.5,2.3,8.7,11.7,2,3,3.4,1.7,12.7,3.1,7.8,10.2,15.1,2.6,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/13/3889909.htm","http://www.abc.net.au/reslib/201311/r1201220_15548587.jpg"
"Albury","NSW",-36.0765,146.9227,49451,24130,25321,37.3,1,0.2,12.6,0.8,8.6,3.3,12.6,7.9,4.2,1.3,2.1,1.3,4.5,2.8,7.5,8.7,13.7,1,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/15/3891894.htm","http://www.abc.net.au/reslib/201311/r1202361_15576298.jpg"
"Toowoomba","QLD",-27.5622,151.9528,155473,76067,79406,37.2,6.3,1.8,9.3,1.1,7.9,3.7,10.9,5.7,4.7,1,2.8,1.3,4.3,2.2,6.7,9.9,13.6,0.9,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/14/3891162.htm","http://www.abc.net.au/reslib/201311/r1202040_15569227.jpg"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/15/3891490.htm","http://www.abc.net.au/reslib/201311/r1202318_15575306.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/14/3891203.htm","http://www.abc.net.au/reslib/201311/r1202073_15570104.jpg"
"Broken Hill","NSW",-31.958038,141.465138,19151,9401,9750,43.1,1.2,10.4,3.2,2.6,5.7,2.1,13.2,9.7,3.8,1,1.5,0.7,2.4,3.1,7.7,8.3,16.2,0.9,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/12/3889382.htm?site=brokenhill&xml=3889382-mediarss.xml#bigpicturepos","http://www.abc.net.au/reslib/201311/r1200758_15538562.JPG"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2013/11/12/3889302.htm","http://www.abc.net.au/reslib/201311/r1200860_15540920.JPG"
"Lismore","NSW",-28.8093,153.2808,44348,21913,22435,40,5.2,0.4,7.1,0.7,6.8,2.8,13.8,6.8,3.2,1.8,2,1.3,4.6,2.8,5.1,11.2,17.6,1.3,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/13/3889888.htm","http://www.abc.net.au/reslib/201311/r1201155_15547257.jpg"
"Albury","NSW",-36.0765,146.9227,49451,24130,25321,37.3,1,0.2,12.6,0.8,8.6,3.3,12.6,7.9,4.2,1.3,2.1,1.3,4.5,2.8,7.5,8.7,13.7,1,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/12/3889509.htm","http://www.abc.net.au/reslib/201311/r1200969_15543508.JPG"
"Toowoomba","QLD",-27.5622,151.9528,155473,76067,79406,37.2,6.3,1.8,9.3,1.1,7.9,3.7,10.9,5.7,4.7,1,2.8,1.3,4.3,2.2,6.7,9.9,13.6,0.9,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/12/3889352.htm","http://www.abc.net.au/reslib/201311/r1200964_15543439.jpg"
"Maitland","NSW",-32.7407,151.5616,69924,34546,35378,35.9,1,6.4,11.7,1.5,8.2,3.1,11.5,6.6,4.6,0.8,2.2,1.5,5.1,3.2,5.9,7.1,11.6,1,5,"Manufacturing","http://www.abc.net.au/local/photos/2013/11/12/3889035.htm","http://www.abc.net.au/news/image/4278030-4x3-80x60.jpg"
"Toowoomba","QLD",-27.5622,151.9528,155473,76067,79406,37.2,6.3,1.8,9.3,1.1,7.9,3.7,10.9,5.7,4.7,1,2.8,1.3,4.3,2.2,6.7,9.9,13.6,0.9,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/07/3886358.htm","http://www.abc.net.au/reslib/201311/r1198881_15498528.jpg"
"Hobart","TAS",-42.8847,147.3303,50482,25111,25371,37.9,1.3,0.3,3.7,1.9,4.1,1.8,9.6,9.3,1.8,2.6,2.9,1.6,9.9,2,13.7,12.7,13.8,2.8,3.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/11/3888056.htm","http://www.abc.net.au/reslib/201311/r1200219_15527079.jpg"
"Sydney","NSW",NULL,NULL,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/11/07/3886172.htm","http://www.abc.net.au/reslib/201311/r1199336_15509176.JPG"
"Melbourne","VIC",-37.8099,144.9622,100240,50401,49839,28.8,0.3,0.4,4.2,1,3,3.5,7.7,10.7,2.6,3.6,8.1,1.7,18.8,3.5,5,8.4,10,3.2,2.4,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/11/08/3886950.htm","http://www.abc.net.au/reslib/201311/r1199275_15507429.jpg"
"Manjimup","WA",-34.2424,116.1441,9463,4721,4742,41.5,17.7,2.5,8.9,0.7,6.5,2.9,10.2,8.6,4,0.4,1.2,0.9,2.6,2.5,7.8,8,8.1,0.5,3.6,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2013/11/08/3887218.htm","http://www.abc.net.au/reslib/201311/r1199494_15513117.JPG"
"Sydney","NSW",-33.8631,151.2043,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/05/10/3756563.htm","http://www.abc.net.au/reslib/201305/r1113826_13566119.jpg"
"Bunbury","WA",-33.3267,115.6347,32580,16065,16515,38.6,0.8,3.3,12.4,1.8,14.4,2.4,12.3,6.9,4.1,1.2,1.6,1.6,4.5,2.8,4.8,7.4,10.8,0.8,4.1,"Construction","http://www.abc.net.au/local/photos/2013/11/07/3886536.htm","http://www.abc.net.au/reslib/201311/r1199048_15501798.jpg"
"Perth","WA",-31.9234,115.8834,18315,10153,8162,32.1,0.3,9.9,4.4,1.2,7.5,2.5,5.5,9.7,2.6,1.4,4.1,2,19.4,4.4,5.6,4.9,8.6,1.5,2.4,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/11/07/3886368.htm","http://www.abc.net.au/reslib/201303/r1089334_13029585.jpg"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2013/11/07/3886362.htm","http://www.abc.net.au/reslib/201311/r1198876_15498489.JPG"
"Burnie","TAS",-41.0573,145.9033,20164,9865,10299,38.5,2.9,4.2,12.2,0.8,6.2,3.3,13.4,7.1,4.8,1,1.8,1,3,3.7,7.4,8,12.8,0.6,4.4,"Retail Trade","http://www.abc.net.au/local/photos/2013/11/07/3885789.htm","http://www.abc.net.au/reslib/201311/r1198510_15488680.jpg"
"Hobart","TAS",-42.8847,147.3303,50482,25111,25371,37.9,1.3,0.3,3.7,1.9,4.1,1.8,9.6,9.3,1.8,2.6,2.9,1.6,9.9,2,13.7,12.7,13.8,2.8,3.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/07/3886202.htm","http://www.abc.net.au/reslib/201311/r1198755_15495187.jpg"
"Adelaide","SA",-34.92139,138.603773,20920,10863,10057,30.6,0.6,1.3,4.6,1.1,3.5,2.3,8.7,11.7,2,3,3.4,1.7,12.7,3.1,7.8,10.2,15.1,2.6,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/07/3886053.htm","http://www.abc.net.au/reslib/201311/r1198654_15493099.jpg"
"Quilpie","QLD",-26.615,144.2683,1007,531,476,40.1,29.6,2,1.7,1.3,8.6,2.2,7.4,5.7,8.1,0.7,1.1,0.6,0.9,0.6,13.1,6.1,6.3,0.6,1.1,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2013/11/07/3885934.htm","http://www.abc.net.au/reslib/201311/r1198573_15491008.JPG"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/01/3882347.htm?site=&xml=3882347-mediarss.xml#bigpicturepos","http://www.abc.net.au/reslib/201311/r1196247_15439307.jpg"
"Wagin","WA",-33.3102,117.3418,1901,953,948,45.9,29.7,2.3,5.4,0.9,6,3.8,9.3,3.4,5,0.9,1.5,0.5,2.4,0.8,5.2,7.7,8.7,0.5,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2013/11/05/3884736.htm","http://www.abc.net.au/reslib/201311/r1197705_15470372.jpg"
"Melbourne","VIC",-37.8099,144.9622,100240,50401,49839,28.8,0.3,0.4,4.2,1,3,3.5,7.7,10.7,2.6,3.6,8.1,1.7,18.8,3.5,5,8.4,10,3.2,2.4,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/11/04/3883492.htm","http://www.abc.net.au/reslib/201311/r1197090_15456978.jpg"
"Brisbane","QLD",NULL,NULL,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/05/3884278.htm","http://www.abc.net.au/reslib/201311/r1197681_15469607.jpg"
"Cloncurry","QLD",-20.7055,140.5092,3342,1886,1456,32.1,12.3,19,5.7,0.4,8.3,2,5.8,5.1,13.1,0.4,1.1,0.6,0.8,2,8.6,4.8,4.8,0.2,1.9,"Mining","http://www.abc.net.au/local/photos/2013/11/04/3883685.htm","http://www.abc.net.au/reslib/201311/r1197196_15459361.JPG"
"Lismore","NSW",-28.8093,153.2808,44348,21913,22435,40,5.2,0.4,7.1,0.7,6.8,2.8,13.8,6.8,3.2,1.8,2,1.3,4.6,2.8,5.1,11.2,17.6,1.3,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/04/3883254.htm","http://www.abc.net.au/reslib/201311/r1196105_15435949.jpg"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/04/3883331.htm","http://www.abc.net.au/reslib/201311/r1197006_15454929.jpg"
"Ballarat","VIC",-37.5675,143.8509,95185,46401,48784,36.8,1.5,0.7,10.7,1,8.7,2.5,12.7,7.4,3.5,2,2,1.1,5.6,2.5,6,9.8,15.3,1.8,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/04/3883061.htm","http://www.abc.net.au/reslib/201311/r1196851_15451126.jpg"
"Sydney","NSW",NULL,NULL,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/11/04/3883113.htm","http://www.abc.net.au/reslib/201311/r1196891_15452208.jpg"
"Perth","WA",-31.956733,115.858802,18315,10153,8162,32.1,0.3,9.9,4.4,1.2,7.5,2.5,5.5,9.7,2.6,1.4,4.1,2,19.4,4.4,5.6,4.9,8.6,1.5,2.4,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/11/01/3882417.htm","http://www.abc.net.au/reslib/201310/r1195713_15427925.jpg"
"Clarence","NSW",-29.5667,153.2833,52825,26216,26609,40.9,1.4,0.3,5.7,2.1,8.5,2.7,11.6,5.9,3.8,1.9,3.3,1.6,5.7,2.7,13.2,10.3,12,2,3.8,"Public Administration & Safety","http://www.abc.net.au/local/photos/2013/10/30/3880127.htm","http://www.abc.net.au/reslib/201310/r1194810_15407981.jpg"
"Lithgow","NSW",-33.4827,150.1357,20850,10740,10110,42.1,2.7,12.4,6.7,4.3,5.9,1.9,10,8.3,5.8,0.6,1.7,1,3.1,3.4,8.4,6.3,11,1,3.6,"Mining","http://www.abc.net.au/local/photos/2013/11/01/3882173.htm","http://www.abc.net.au/reslib/201311/r1196136_15436403.jpg"
"Ballarat","VIC",-37.5675,143.8509,95185,46401,48784,36.8,1.5,0.7,10.7,1,8.7,2.5,12.7,7.4,3.5,2,2,1.1,5.6,2.5,6,9.8,15.3,1.8,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/01/3881944.htm","http://www.abc.net.au/reslib/201311/r1196033_15434476.jpg"
"Lismore","NSW",-28.8093,153.2808,44348,21913,22435,40,5.2,0.4,7.1,0.7,6.8,2.8,13.8,6.8,3.2,1.8,2,1.3,4.6,2.8,5.1,11.2,17.6,1.3,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/11/01/3881782.htm","http://www.abc.net.au/reslib/201310/r1195623_15425353.jpg"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2013/10/31/3881150.htm","http://www.abc.net.au/reslib/201310/r1195488_15422639.jpg"
"Lismore","NSW",-28.8093,153.2808,44348,21913,22435,40,5.2,0.4,7.1,0.7,6.8,2.8,13.8,6.8,3.2,1.8,2,1.3,4.6,2.8,5.1,11.2,17.6,1.3,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/10/31/3880960.htm","http://www.abc.net.au/reslib/201310/r1195359_15419198.jpg"
"Sydney","NSW",NULL,NULL,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/10/30/3880208.htm","http://www.abc.net.au/reslib/201310/r1194889_15409764.jpg"
"Fremantle","WA",-32.0531,115.745,28651,14111,14540,41.1,0.5,4.5,7.1,1,7.8,2.9,8.3,6.5,3.9,1.4,1.8,1.6,10.4,2.9,6.2,11.9,14,2.2,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/10/29/3879391.htm","http://www.abc.net.au/reslib/201310/r1194373_15401181.jpg"
"Devonport","TAS",-41.1925,146.3602,25752,12501,13251,40.6,3.2,1.3,11.8,1.4,8,4.5,12.8,7.7,6.4,0.8,1.7,1.3,3.8,3.9,5.5,8.5,11.3,0.7,4.1,"Retail Trade","http://www.abc.net.au/local/photos/2013/10/29/3879403.htm","http://www.abc.net.au/reslib/201310/r1194348_15397470.jpg"
"Sydney","NSW",NULL,NULL,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/10/29/3879102.htm","http://www.abc.net.au/reslib/201310/r1194209_15394177.jpg"
"Sydney","NSW",NULL,NULL,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/10/28/3878501.htm","http://www.abc.net.au/reslib/201310/r1193912_15387503.jpg"
"Broken Hill","NSW",-31.958038,141.465138,19151,9401,9750,43.1,1.2,10.4,3.2,2.6,5.7,2.1,13.2,9.7,3.8,1,1.5,0.7,2.4,3.1,7.7,8.3,16.2,0.9,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/10/28/3878573.htm","http://www.abc.net.au/reslib/201310/r1193924_15387846.JPG"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2013/10/16/3870350.htm","http://www.abc.net.au/reslib/201310/r1188473_15266109.JPG"
"Albany","WA",-35.0239,117.8805,34873,17066,17807,40.8,6.4,1.6,7,1.3,10,2.7,13.4,6.4,4.2,0.8,1.8,1.7,4.1,3,7,9,12.7,1.1,4.1,"Retail Trade","http://www.abc.net.au/local/photos/2013/10/28/3878380.htm","http://www.abc.net.au/reslib/201310/r1193752_15383819.jpg"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2013/10/28/3878279.htm","http://www.abc.net.au/reslib/201310/r1193666_15381501.JPG"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/10/28/3878173.htm","http://www.abc.net.au/reslib/201310/r1193673_15381695.jpg"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/10/25/3877102.htm","http://www.abc.net.au/reslib/201310/r1192846_15365063.jpg"
"Toowoomba","QLD",-27.5622,151.9528,155473,76067,79406,37.2,6.3,1.8,9.3,1.1,7.9,3.7,10.9,5.7,4.7,1,2.8,1.3,4.3,2.2,6.7,9.9,13.6,0.9,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/10/25/3877290.htm","http://www.abc.net.au/reslib/201310/r1193033_15369224.JPG"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2013/10/24/3876373.htm","http://www.abc.net.au/reslib/201310/r1192437_15356517.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2013/10/25/3877186.htm","http://www.abc.net.au/reslib/201310/r1192962_15367299.jpg"
"Albury","NSW",-36.0765,146.9227,49451,24130,25321,37.3,1,0.2,12.6,0.8,8.6,3.3,12.6,7.9,4.2,1.3,2.1,1.3,4.5,2.8,7.5,8.7,13.7,1,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/10/25/3877287.htm","http://www.abc.net.au/reslib/201310/r1192948_15367102.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2013/10/24/3876006.htm","http://www.abc.net.au/reslib/201310/r1192186_15349562.jpg"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2013/10/24/3876118.htm","http://www.abc.net.au/reslib/201310/r1192251_15351364.jpg"
"Warrnambool","VIC",-38.3866,142.5053,32667,16050,16617,37.8,2.3,0.4,10.3,1.4,8.8,3.8,13.7,8.8,3.6,1.2,2.2,1.3,3.9,2.7,4.9,9.2,14.9,1.5,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/10/22/3873935.htm","http://www.abc.net.au/reslib/201310/r1190943_15320985.jpg"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2013/10/23/3875191.htm","http://www.abc.net.au/reslib/201310/r1191668_15337676.jpg"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/10/22/3874357.htm","http://www.abc.net.au/reslib/201310/r1191116_15325212.jpg"
"Fremantle","WA",-32.053811,115.748348,28651,14111,14540,41.1,0.5,4.5,7.1,1,7.8,2.9,8.3,6.5,3.9,1.4,1.8,1.6,10.4,2.9,6.2,11.9,14,2.2,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/10/18/3872113.htm","http://www.abc.net.au/reslib/201310/r1187586_15245930.jpg"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2013/10/22/3874236.htm","http://www.abc.net.au/reslib/201310/r1191087_15324378.JPG"
"Sydney","NSW",-33.8631,151.2043,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/10/18/3872540.htm","http://www.abc.net.au/reslib/201310/r1189981_15299689.jpg"
"Melbourne","VIC",-37.8099,144.9622,100240,50401,49839,28.8,0.3,0.4,4.2,1,3,3.5,7.7,10.7,2.6,3.6,8.1,1.7,18.8,3.5,5,8.4,10,3.2,2.4,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2013/10/21/3873429.htm","http://www.abc.net.au/reslib/201310/r1190603_15313805.jpg"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2013/10/21/3873266.htm","http://www.abc.net.au/reslib/201310/r1190512_15311318.jpg"
